{'style': {'M2MM': 50000.0, 'MM2M': 10000.0}, 'dis': {'M': 0.5, 'MM': 0.5}, 'gen': {'M': 0.5, 'MM': 1.0}, 'recon': 5, 'consis': 1, 'content': 1}
{'style': {'M2MM': 50000.0, 'MM2M': 10000.0}, 'dis': {'M': 0.5, 'MM': 0.5}, 'gen': {'M': 0.5, 'MM': 1.0}, 'recon': 5, 'consis': 1, 'content': 1}
{'style': {'M2MM': 50000.0, 'MM2M': 10000.0}, 'dis': {'M': 0.5, 'MM': 0.5}, 'gen': {'M': 0.5, 'MM': 1.0}, 'recon': 5, 'consis': 1, 'content': 1}
[59/10000000] D: 0.87|G: 1.42|Recon: 1.94|Consis: 0.50|Content: 2.80|Style: 11.92|T: 8.92|| M2MM: 0.00|MM2M: 0.00| M2MM
[60/10000000] D: 0.96|G: 1.88|Recon: 2.10|Consis: 0.56|Content: 4.11|Style: 10.25|T: 8.90|| M2MM: 0.00|MM2M: 0.00| M2MM
[61/10000000] D: 1.09|G: 1.48|Recon: 1.86|Consis: 0.49|Content: 2.49|Style: 12.95|T: 8.89|| M2MM: 0.00|MM2M: 0.00| M2MM
[62/10000000] D: 1.15|G: 2.10|Recon: 2.07|Consis: 0.59|Content: 4.45|Style: 10.40|T: 8.90|| M2MM: 0.00|MM2M: 0.00| M2MM
[63/10000000] D: 0.85|G: 2.15|Recon: 1.96|Consis: 0.57|Content: 3.69|Style: 12.19|T: 8.94|| M2MM: 0.00|MM2M: 0.00| M2MM
[64/10000000] D: 1.25|G: 2.65|Recon: 2.11|Consis: 0.57|Content: 3.11|Style: 11.89|T: 8.94|| M2MM: 0.00|MM2M: 0.00| M2MM
[65/10000000] D: 1.07|G: 1.96|Recon: 1.93|Consis: 0.60|Content: 3.46|Style: 10.77|T: 8.89|| M2MM: 0.00|MM2M: 0.00| M2MM
[66/10000000] D: 1.01|G: 1.88|Recon: 2.05|Consis: 0.54|Content: 2.86|Style: 12.70|T: 8.85|| M2MM: 0.00|MM2M: 0.00| M2MM
[67/10000000] D: 0.99|G: 2.01|Recon: 1.86|Consis: 0.58|Content: 3.62|Style: 10.63|T: 8.95|| M2MM: 0.00|MM2M: 0.00| M2MM
[68/10000000] D: 0.89|G: 2.03|Recon: 1.69|Consis: 0.67|Content: 4.13|Style: 12.08|T: 8.84|| M2MM: 0.00|MM2M: 0.00| M2MM
[69/10000000] D: 0.81|G: 2.87|Recon: 2.10|Consis: 0.63|Content: 3.58|Style: 11.10|T: 8.84|| M2MM: 0.00|MM2M: 0.00| M2MM
[70/10000000] D: 1.11|G: 1.61|Recon: 1.92|Consis: 0.63|Content: 4.34|Style: 10.15|T: 8.89|| M2MM: 0.00|MM2M: 0.00| M2MM
[71/10000000] D: 1.19|G: 1.60|Recon: 1.84|Consis: 0.61|Content: 3.12|Style: 11.57|T: 8.95|| M2MM: 0.00|MM2M: 0.00| M2MM
[72/10000000] D: 1.28|G: 1.75|Recon: 1.77|Consis: 0.69|Content: 3.17|Style: 9.52|T: 8.89|| M2MM: 0.00|MM2M: 0.00| M2MM
[73/10000000] D: 1.16|G: 1.64|Recon: 1.73|Consis: 0.62|Content: 3.42|Style: 11.81|T: 8.85|| M2MM: 0.00|MM2M: 0.00| M2MM
[74/10000000] D: 1.05|G: 1.45|Recon: 1.82|Consis: 0.71|Content: 4.43|Style: 12.04|T: 8.86|| M2MM: 0.00|MM2M: 0.00| M2MM
[75/10000000] D: 1.21|G: 1.25|Recon: 1.63|Consis: 0.56|Content: 2.80|Style: 10.58|T: 8.80|| M2MM: 0.00|MM2M: 0.00| M2MM
[76/10000000] D: 1.10|G: 1.74|Recon: 1.81|Consis: 0.63|Content: 3.62|Style: 11.04|T: 8.85|| M2MM: 0.00|MM2M: 0.00| M2MM
[77/10000000] D: 1.03|G: 1.78|Recon: 1.65|Consis: 0.61|Content: 3.42|Style: 9.98|T: 8.77|| M2MM: 0.00|MM2M: 0.00| M2MM
[78/10000000] D: 1.14|G: 1.64|Recon: 1.51|Consis: 0.60|Content: 2.93|Style: 10.34|T: 8.85|| M2MM: 0.00|MM2M: 0.00| M2MM
[79/10000000] D: 0.99|G: 1.64|Recon: 1.69|Consis: 0.63|Content: 4.10|Style: 10.03|T: 8.77|| M2MM: 0.00|MM2M: 0.00| M2MM
[80/10000000] D: 0.97|G: 1.45|Recon: 1.87|Consis: 0.69|Content: 4.48|Style: 10.79|T: 8.79|| M2MM: 0.00|MM2M: 0.00| M2MM
[81/10000000] D: 1.19|G: 1.83|Recon: 1.69|Consis: 0.60|Content: 3.61|Style: 12.19|T: 8.67|| M2MM: 0.00|MM2M: 0.00| M2MM
[82/10000000] D: 1.08|G: 1.60|Recon: 1.62|Consis: 0.72|Content: 4.55|Style: 9.81|T: 8.70|| M2MM: 0.00|MM2M: 0.00| M2MM
[83/10000000] D: 1.04|G: 1.68|Recon: 1.66|Consis: 0.60|Content: 3.38|Style: 11.30|T: 8.77|| M2MM: 0.00|MM2M: 0.00| M2MM
[84/10000000] D: 1.02|G: 1.59|Recon: 1.59|Consis: 0.64|Content: 3.57|Style: 9.30|T: 8.68|| M2MM: 0.00|MM2M: 0.00| M2MM
[85/10000000] D: 0.95|G: 1.63|Recon: 1.73|Consis: 0.66|Content: 4.31|Style: 10.99|T: 8.78|| M2MM: 0.00|MM2M: 0.00| M2MM
[86/10000000] D: 1.39|G: 1.59|Recon: 1.61|Consis: 0.70|Content: 4.46|Style: 10.85|T: 8.88|| M2MM: 0.00|MM2M: 0.00| M2MM
[87/10000000] D: 1.11|G: 1.75|Recon: 1.66|Consis: 0.61|Content: 3.29|Style: 9.86|T: 8.69|| M2MM: 0.00|MM2M: 0.00| M2MM
[88/10000000] D: 1.01|G: 1.81|Recon: 1.66|Consis: 0.64|Content: 4.20|Style: 10.25|T: 8.68|| M2MM: 0.00|MM2M: 0.00| M2MM
[89/10000000] D: 1.09|G: 1.42|Recon: 1.70|Consis: 0.58|Content: 3.53|Style: 11.94|T: 8.77|| M2MM: 0.00|MM2M: 0.00| M2MM
[90/10000000] D: 1.10|G: 1.24|Recon: 1.56|Consis: 0.67|Content: 3.92|Style: 10.52|T: 8.68|| M2MM: 0.00|MM2M: 0.00| M2MM
[91/10000000] D: 1.30|G: 1.52|Recon: 1.52|Consis: 0.67|Content: 2.90|Style: 11.31|T: 8.72|| M2MM: 0.00|MM2M: 0.00| M2MM
[92/10000000] D: 1.03|G: 1.99|Recon: 1.40|Consis: 0.76|Content: 5.22|Style: 10.56|T: 8.65|| M2MM: 0.00|MM2M: 0.00| M2MM
[93/10000000] D: 1.42|G: 1.06|Recon: 1.54|Consis: 0.76|Content: 4.91|Style: 9.58|T: 8.75|| M2MM: 0.00|MM2M: 0.00| M2MM
[94/10000000] D: 1.56|G: 1.39|Recon: 1.57|Consis: 0.66|Content: 3.61|Style: 11.28|T: 8.72|| M2MM: 0.00|MM2M: 0.00| M2MM
[95/10000000] D: 1.28|G: 1.36|Recon: 1.51|Consis: 0.68|Content: 3.78|Style: 10.06|T: 8.70|| M2MM: 0.00|MM2M: 0.00| M2MM
[96/10000000] D: 1.20|G: 1.34|Recon: 1.33|Consis: 0.64|Content: 4.10|Style: 11.25|T: 8.87|| M2MM: 0.00|MM2M: 0.00| M2MM
[97/10000000] D: 1.10|G: 1.33|Recon: 1.63|Consis: 0.64|Content: 4.12|Style: 11.76|T: 8.78|| M2MM: 0.00|MM2M: 0.00| M2MM
[98/10000000] D: 1.25|G: 1.25|Recon: 1.44|Consis: 0.63|Content: 3.58|Style: 9.82|T: 8.57|| M2MM: 0.00|MM2M: 0.00| M2MM
[99/10000000] D: 1.22|G: 1.40|Recon: 1.53|Consis: 0.58|Content: 4.92|Style: 12.73|T: 8.55|| M2MM: 0.00|MM2M: 0.00| M2MM
[100/10000000] D: 1.01|G: 1.77|Recon: 1.64|Consis: 0.57|Content: 3.67|Style: 11.63|T: 8.81|| M2MM: 0.00|MM2M: 0.00| M2MM
[101/10000000] D: 1.12|G: 1.33|Recon: 1.43|Consis: 0.63|Content: 4.53|Style: 10.96|T: 8.69|| M2MM: 0.00|MM2M: 0.00| M2MM
[102/10000000] D: 0.98|G: 1.66|Recon: 1.62|Consis: 0.69|Content: 4.63|Style: 10.39|T: 8.72|| M2MM: 0.00|MM2M: 0.00| M2MM
[103/10000000] D: 1.44|G: 1.60|Recon: 1.56|Consis: 0.62|Content: 4.09|Style: 10.79|T: 8.76|| M2MM: 0.00|MM2M: 0.00| M2MM
[104/10000000] D: 1.30|G: 1.37|Recon: 1.36|Consis: 0.62|Content: 3.38|Style: 10.71|T: 8.52|| M2MM: 0.00|MM2M: 0.00| M2MM
[105/10000000] D: 1.23|G: 1.37|Recon: 1.27|Consis: 0.66|Content: 4.34|Style: 10.09|T: 8.59|| M2MM: 0.00|MM2M: 0.00| M2MM
[106/10000000] D: 1.19|G: 1.15|Recon: 1.40|Consis: 0.64|Content: 5.12|Style: 11.29|T: 8.61|| M2MM: 0.00|MM2M: 0.00| M2MM
[107/10000000] D: 1.03|G: 1.46|Recon: 1.55|Consis: 0.65|Content: 4.48|Style: 9.89|T: 8.63|| M2MM: 0.00|MM2M: 0.00| M2MM
